Concentration,lat,lgn,Date
0.62,0.347278,32.577709,5/10/2017
0.62,0.347298,32.577713,5/10/2017
0.62,0.347308,32.577716,5/10/2017
0.62,0.347301,32.57772,5/10/2017
0.62,0.347293,32.577728,5/10/2017
0.62,0.347292,32.577728,5/10/2017
0.62,0.347299,32.577724,5/10/2017
0.62,0.347296,32.577732,5/10/2017
0.62,0.347286,32.577724,5/10/2017
0.62,0.347286,32.577713,5/10/2017
0.62,0.347282,32.577724,5/10/2017
0.62,0.347283,32.577728,5/10/2017
0.62,0.347293,32.577716,5/10/2017
0.62,0.347292,32.577724,5/10/2017
0.62,0.347295,32.57772,5/10/2017
0.62,0.34765,32.577545,5/10/2017
0.62,0.347282,32.577747,5/10/2017
0.62,0.34728,32.577751,5/10/2017
0.62,0.347325,32.578132,5/10/2017
0.62,0.356514,32.582847,5/10/2017
0.62,0.3565,32.582855,5/10/2017
0.62,0.356476,32.582851,5/10/2017
0.62,0.356473,32.582847,5/10/2017
0.62,0.356473,32.582847,5/10/2017
0.62,0.356492,32.582836,5/10/2017
0.62,0.356479,32.582782,5/10/2017
0.62,0.317133,32.574657,5/10/2017
0.62,0.354741,32.58517,5/10/2017
0.62,0.354761,32.585189,5/10/2017
0.62,0.31666,32.578445,5/10/2017
0.62,0.316657,32.578437,5/10/2017
0.62,0.316646,32.578422,5/10/2017
0.62,0.316642,32.578445,5/10/2017
0.62,0.316637,32.578426,5/10/2017
0.62,0.316641,32.578449,5/10/2017
0.62,0.316649,32.578433,5/10/2017
0.62,0.316661,32.578441,5/10/2017
0.62,0.316657,32.578426,5/10/2017
0.62,0.316646,32.578441,5/10/2017
0.62,0.316665,32.578464,5/10/2017
0.62,0.316674,32.578453,5/10/2017
0.62,0.316659,32.578445,5/10/2017
0.62,0.316652,32.578449,5/10/2017
0.62,0.316647,32.578456,5/10/2017
0.62,0.316633,32.578453,5/10/2017
0.62,0.316633,32.578441,5/10/2017
0.62,0.316652,32.578441,5/10/2017
0.62,0.316616,32.578437,5/10/2017
0.62,0.316615,32.578433,5/10/2017
0.62,0.316605,32.578437,5/10/2017
0.62,0.316619,32.578426,5/10/2017
0.62,0.316635,32.57843,5/10/2017
0.62,0.31664,32.578445,5/10/2017
0.62,0.316639,32.578437,5/10/2017
0.62,0.316642,32.578433,5/10/2017
0.62,0.316652,32.578445,5/10/2017
0.62,0.316632,32.578418,5/10/2017
0.62,0.316631,32.57843,5/10/2017
0.62,0.316623,32.578437,5/10/2017
0.62,0.316609,32.57843,5/10/2017
0.62,0.316627,32.578449,5/10/2017
0.62,0.316643,32.578456,5/10/2017
0.62,0.31664,32.578449,5/10/2017
0.62,0.35477,32.585231,5/10/2017
0.62,0.356495,32.582817,5/10/2017
0.62,0.356502,32.582817,5/10/2017
0.62,0.356525,32.582794,5/10/2017
0.62,0.356512,32.58282,5/10/2017
0.62,0.35803,32.584125,5/10/2017
0.62,0,0,0/0/0
0.62,0,0,0/0/0
0.62,0.357652,32.584392,5/16/2017
0.62,0.357702,32.584438,5/16/2017
0.62,0.357668,32.584423,5/16/2017
0.62,0.357668,32.584423,5/16/2017
0.62,0.357668,32.584423,5/16/2017
0.62,0.357751,32.58451,5/16/2017
0.62,0.357683,32.584403,5/16/2017
0.62,0.357687,32.58443,5/16/2017
0.62,0.35764,32.584415,5/16/2017
0.62,0.357645,32.584384,5/16/2017
0.62,0.3577,32.584407,5/16/2017
0.62,0.357554,32.584365,5/16/2017
0.62,0.357608,32.584403,5/16/2017
0.62,0.35764,32.584434,5/16/2017
0.62,0.357664,32.584396,5/16/2017
0.62,0.357666,32.584407,5/16/2017
0.62,0.357657,32.584403,5/16/2017
0.62,0.357817,32.584236,5/16/2017
0.62,0.356913,32.585662,5/16/2017
0.62,0.356627,32.586029,5/16/2017
0.62,0.356628,32.586044,5/16/2017
0.62,0.357444,32.584926,5/16/2017
0.62,0.357304,32.584671,5/16/2017
0.62,0.357293,32.584659,5/16/2017
0.62,0.357306,32.584667,5/16/2017
0.62,0.357312,32.584648,5/16/2017
0.62,0.357316,32.584667,5/16/2017
0.62,0.357313,32.584636,5/16/2017
0.62,0.357306,32.584651,5/16/2017
0.62,0.35732,32.584659,5/16/2017
0.62,0.357323,32.584648,5/16/2017
0.62,0.357317,32.584651,5/16/2017
0.62,0.357312,32.584644,5/16/2017
0.62,0.357306,32.584636,5/16/2017
0.62,0.357312,32.584651,5/16/2017
